gene_name,max(statistic),min(pValue),max(delta_af_abs)
UBE2E4P-GLRA2,21.0703842456892,4.427179284838267E-6,0.05467700000000003
CASK,25.29149742363474,4.928766260681172E-7,0.04458399999999999
HS6ST2,19.6981521756177,9.068901432263132E-6,0.078239
GPR153,14.750740665438842,1.226993171796753E-4,0.07048100000000002
PLCB3,12.64998824293764,3.7556803931615423E-4,0.04469400000000001
DENND1C-TUBB4A,16.586802833054666,4.6473286015813464E-5,0.08951200000000001
CDKN2D,17.36077212067979,3.091410730160504E-5,0.07564399999999999
LOC101930071,14.750740665438842,1.226993171796753E-4,0.06251699999999999
HLCS-RIPPLY3,7.87451021790475,0.005013644874501733,0.03417700000000004
LOC102723780-LOC102723769,14.750740665438842,1.226993171796753E-4,0.09523799999999999
CYB5R3-A4GALT,5.984754830826602,0.014430048241337312,0.06868199999999997
MECOM-TERC,19.6981521756177,9.068901432263132E-6,0.041742999999999975
ZBTB22,14.750740665438842,1.226993171796753E-4,0.045162000000000035
SPDEF,7.958275921362027,0.00478679894080003,0.05838399999999999
UFL1,9.001793896145728,0.0026971472914373296,0.09529300000000007
OLIG3,14.750740665438842,1.226993171796753E-4,0.04086400000000001
EXOSC2,5.984754830826602,0.014430048241337312,0.06928599999999996
SCARNA13,4.624167579304911,0.03152455459644998,0.051244
DYNAP,12.015776602778365,5.275210285636822E-4,0.05585799999999996
SLF1-MCTP1,9.303992853867074,0.002286549705343033,0.04777000000000001
PNPLA8-THAP5,5.984754830826602,0.014430048241337312,0.05464899999999995
TESK1,5.984754830826602,0.014430048241337312,0.052562
ATP1B4,14.750740665438842,1.226993171796753E-4,0.04018999999999995
NCSTN,8.889036133430762,0.002868881420476699,0.04707
TEX12,5.984754830826602,0.014430048241337312,0.043267
VRTN,8.889036133430762,0.002868881420476699,0.07241699999999995
SLC38A8-MBTPS1,5.984754830826602,0.014430048241337312,0.058728
CYP4F8-CYP4F3,17.270333799829086,3.242092761879256E-5,0.10931199999999996
CABP4,14.750740665438842,1.226993171796753E-4,0.04661599999999999
BHLHE22-CYP7B1,5.984754830826602,0.014430048241337312,0.016409000000000007
TSACC-RHBG,8.889036133430762,0.002868881420476699,0.05808200000000002
MIR8060,14.750740665438842,1.226993171796753E-4,0.037966
TCEAL7,14.750740665438842,1.226993171796753E-4,0.043431
TSEN34-RPS9,3.8955757682429617,0.04841344188737018,0.04709799999999997
ZNF789,5.984754830826602,0.014430048241337312,0.030593000000000002
SNORA38,8.012193764702209,0.0046463417165613086,0.028698
POLR3D-PIWIL2,4.448827802815112,0.03492521197112197,0.032872000000000005
OR2L5,17.28215409073266,3.221986766810403E-5,0.05024200000000001
ABHD10-TAGLN3,5.984754830826602,0.014430048241337312,0.045134000000000035
TM2D3,10.959398284331515,9.313005358723148E-4,0.04256700000000002
HIST1H2BA,2.9588102160444847,0.08541076822128357,0.047935000000000005
LINC01225-LINC01226,5.984754830826602,0.014430048241337312,0.04665799999999998
HIST2H3A,7.158063341918104,0.007462772940297069,0.05948200000000001
TMED8-SAMD15,0.0,1.0,5.77E-4
SEPT2-FARP2,0.6248810258684762,0.4292392282108688,0.014157000000000003
RPS5-RNF225,1.0533563274180704,0.3047353589056476,0.011781000000000041
ZFAND2A-LOC101927021,3.2369403280660474,0.07199497354086426,0.03141700000000003
MYH14-KCNC3,1.1893454544025484,0.2754616256486979,0.026376999999999984
STK3-OSR2,8.889036133430762,0.002868881420476699,0.016395000000000003
ZGLP1-FDX1L,0.0,1.0,5.77E-4
GPR157,8.889036133430762,0.002868881420476699,0.054127999999999954
PRAMEF1-PRAMEF11,6.2317148843312795,0.012548215773171889,0.08013399999999998
BEND5,14.750740665438842,1.226993171796753E-4,0.04290900000000003
NOTCH2,11.586679221363665,6.642592449117579E-4,0.029809999999999996
ACP6-GJA5,17.999764284198612,2.2093232514119876E-5,0.08680700000000002
LRRN2-NFASC,23.263245605590384,1.4127411492870223E-6,0.039765
ENDOD1-LOC101929295,5.984754830826602,0.014430048241337312,0.05584399999999999
UBASH3B-CRTAM,14.809684331824005,1.1892322516637854E-4,0.05668099999999998
FLT1-POMP,14.750740665438842,1.226993171796753E-4,0.08200200000000002
VPS36,14.731562053468624,1.2395379533169937E-4,0.07385900000000001
DIO2-AS1-CEP128,14.750740665438842,1.226993171796753E-4,0.041811
LINC00929-GABRB3,26.148796713719978,3.1609402417753785E-7,0.06145999999999996
OR1F1-OR1F2P,10.959398284331515,9.313005358723148E-4,0.04233299999999998
MIR193BHG-LOC105447648,5.984754830826602,0.014430048241337312,0.07439399999999996
CES5A-LOC283856,14.750740665438842,1.226993171796753E-4,0.07865099999999997
LOC283856,9.512165039502502,0.0020411419691761523,0.09659800000000002
AP1G1,14.750740665438842,1.226993171796753E-4,0.06972600000000001
MAP3K14-ARHGAP27,14.809684331824005,1.1892322516637854E-4,0.07380399999999998
